Date,Description,Amount,Payment_Method
2026-09-01,Swiggy Dinner,450,UPI
2026-09-02,Uber Ride,180,UPI
2026-09-03,Amazon Shoes,2000,Card
2026-09-04,College Canteen,120,Cash
2026-09-05,Netflix Subscription,649,Card
2026-09-06,Petrol,1000,UPI
2026-09-07,Zomato Lunch,350,UPI
2026-09-08,Amazon Books,800,Card
2026-09-09,Metro Ticket,100,Cash
2026-09-10,Spotify,119,UPI
2026-09-11,Swiggy Lunch,300,UPI
2026-09-12,Movie Ticket,500,Card
2026-09-13,Uber Ride,220,UPI
2026-09-14,College Books,700,Cash
2026-09-15,Myntra Clothes,1500,Card
2026-09-16,Restaurant Dinner,900,UPI
2026-09-17,Bus Ticket,80,Cash
2026-09-18,Zomato Dinner,550,UPI
2026-09-19,Amazon Electronics,2500,Card
2026-09-20,Gym Membership,1200,UPI
